Phoneme,InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,comments
a̰ː,1,kore1280,kor,NA,NA,0061+0330+02D0,NA,FALSE,vowel,fake,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0,
d̪̰,1,kore1280,kor,NA,NA,0064+032A+0330,NA,FALSE,consonant,fake,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-,
ɤi̯,1,kore1280,kor,NA,NA,0264+0069+032F,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+",-,"-,+","+,-",+,-,-,+,-,-,-,0,-,-,0,
ɤu̯,1,kore1280,kor,NA,NA,0264+0075+032F,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+",-,-,+,+,-,-,+,-,-,-,0,-,-,0,
ɔə̯,1,kore1280,kor,NA,NA,0254+0259+032F,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,-,-,"+,-",-,-,-,+,-,-,-,0,-,-,0,
u̯ə,1,kore1280,kor,NA,NA,0075+032F+0259,NA,FALSE,vowel,fake,0,-,"-,+",-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,-,"+,-","+,-",-,-,+,-,-,-,0,-,-,0,
ɯi̯,1,kore1280,kor,NA,NA,026F+0069+032F,NA,FALSE,vowel,fake,0,-,"+,-",-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,"-,+","+,-",+,-,-,+,-,-,-,0,-,-,0,
ɯˀ,1,kore1280,kor,NA,NA,026F+02C0,NA,FALSE,vowel,fake,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,+,0,-,-,0,
n̪͆,1,kore1280,kor,NA,NA,006E+032A,NA,FALSE,consonant,fake,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-,merge interdentals with dentals for now
ⁿd̪͆,1,kore1280,kor,NA,NA,006E+032A+0064+032A,NA,FALSE,consonant,fake,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-,merge interdentals with dentals for now
t̪͆,1,kore1280,kor,NA,NA,0074+032A,NA,FALSE,consonant,fake,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,merge interdentals with dentals for now
w͓,1,kore1280,kor,NA,NA,03B2+02B7+02E0,NA,FALSE,consonant,fake,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-,this is sort of fake but we'll call it βˠʷ
↑˥,1,kore1280,kor,NA,NA,1.00E+00,NA,FALSE,tone,fake,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ignore foostep
